0,001;0
0,021;0,003
0,031;0,012
0,041;0,022
0,051;0,033
0,061;0,043
0,071;0,054
0,081;0,064
0,091;0,073
0,101;0,086
0,111;0,095
0,121;0,109
0,131;0,119
0,141;0,127
0,151;0,136
0,161;0,149
0,171;0,16
0,181;0,17
0,191;0,178
0,201;0,194
0,211;0,204
0,221;0,212
0,231;0,229
0,241;0,237
0,251;0,247
0,261;0,066
0,271;0,013
0,281;0,003
0,291;0
0,301;0,003
0,311;0,003
0,321;0,005
0,331;0
0,341;0,005
0,351;0,003
0,361;0,003
0,371;0,002
0,381;0,005
0,391;0,002
0,401;0,006
0,411;0,003
0,421;0,006
0,431;0,001
0,441;0,007
0,451;0,002
0,461;0,004
0,471;0,002
0,481;0,006
0,491;0
0,501;0,004
0,511;0,001
0,521;0,005
0,531;0,003
0,541;0,006
0,551;0,002
0,571;0,004
0,581;0,005
0,591;0
0,601;0,003
0,611;0,002
0,621;0,003
0,631;0,003
0,641;0,003
0,651;0
0,661;0,004
0,671;0,003
0,681;0,004
0,691;0
0,701;0,005
0,711;0,003
0,721;0,003
0,731;0,003
0,741;0,002
0,751;0,002
0,761;0,004
0,771;0,004
0,781;0,002
0,791;0
0,801;0,003
0,811;0,003
0,821;0,002
0,831;0,004
0,841;0,002
0,851;0,002
0,861;0,004
0,871;0,002
0,881;0,003
0,891;0,003
0,901;0,003
0,911;0,001
0,921;0,001
0,931;0,004
0,941;0,003
0,951;0,001
0,961;0,005
0,971;0,003
0,981;0,001
0,991;0,005
1,001;0,002
1,011;0,002
1,021;0,002
1,031;0,004
1,041;0,002
1,051;0,004
1,061;0,003
1,071;0,004
1,081;0
1,091;0,006
1,101;0,003
1,111;0,003
1,121;0,002
1,131;0,005
1,141;0,003
1,151;0,006
1,161;0,003
1,171;0,006
1,181;0,002
1,191;0,006
1,201;0,002
1,211;0,004
1,221;0,002
1,231;0,006
1,241;0
1,251;0,005
1,261;0,002
1,271;0,006
1,281;0,002
1,291;0,006
1,301;0,002
1,321;0,004
1,331;0,005
1,341;-0,001
1,351;0,003
